               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12563,             0.26118,            0.041473,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036367,           0.0036367,            0.054877
                   1,             0.11968,             0.23472,            0.040561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066094,           0.0066094,            0.031795
                   2,             0.10431,             0.16431,             0.03801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087516,           0.0087516,           0.0087516
                   3,            0.086501,             0.14129,            0.033288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087516,           0.0087516,           0.0087516
                   4,            0.065097,             0.12289,             0.03156,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076724,           0.0076724,           0.0076724
                   5,            0.056351,             0.11798,            0.030545,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065933,           0.0065933,           0.0065933
                   6,            0.046017,             0.11514,            0.029807,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055141,           0.0055141,           0.0055141
                   7,            0.043048,             0.11168,            0.029186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044349,           0.0044349,           0.0044349
                   8,            0.039239,            0.099568,            0.029186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033557,           0.0033557,           0.0033557
                   9,            0.037559,             0.10604,             0.02871,             0.75749,             0.42943,             0.31791,             0.22489,            0.043552,             0.13945,            0.027824,           0.0022765,           0.0022765,           0.0022765
                   0,             0.11825,             0.21778,            0.042837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034785,           0.0034785,            0.077841
                   1,             0.11142,             0.19194,            0.041936,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063215,           0.0063215,            0.047137
                   2,            0.093188,             0.12385,            0.038927,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084639,           0.0084639,            0.015732
                   3,            0.080527,             0.11968,            0.033826,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007958,            0.007958,            0.007958
                   4,            0.062335,             0.11206,            0.031001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007958,            0.007958,            0.007958
                   5,            0.048359,             0.10597,             0.02944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068373,           0.0068373,           0.0068373
                   6,            0.038812,            0.092963,            0.028037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057166,           0.0057166,           0.0057166
                   7,            0.036213,            0.093032,            0.026965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045959,           0.0045959,           0.0045959
                   8,            0.031202,            0.085048,            0.026061,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034752,           0.0034752,           0.0034752
                   9,             0.02896,            0.088056,            0.025295,             0.73525,             0.50507,             0.40417,             0.29904,            0.030482,             0.11323,            0.024837,           0.0023546,           0.0023546,           0.0023546
                   0,            0.070811,             0.15882,           0.0029775,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036056,           0.0036056,            0.070767
                   1,            0.039166,             0.11746,           0.0019693,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065523,           0.0065523,            0.040411
                   2,             0.03195,             0.10673,           0.0019243,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008773,            0.008773,            0.009328
                   3,              0.0311,             0.10604,           0.0021931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007733,            0.007733,            0.007733
                   4,             0.02789,             0.09669,           0.0021358,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007733,            0.007733,            0.007733
                   5,            0.028108,             0.10103,           0.0020776,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006644,            0.006644,            0.006644
                   6,            0.025531,            0.089146,           0.0021653,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005555,            0.005555,            0.005555
                   7,            0.024198,            0.093577,           0.0018893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004466,            0.004466,            0.004466
                   8,             0.02369,            0.090189,           0.0017968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003377,            0.003377,            0.003377
                   9,            0.023312,            0.087592,           0.0017866,             0.76209,             0.79326,             0.80127,             0.58093,            0.025902,             0.13063,           0.0060019,            0.002288,            0.002288,            0.002288
                   0,            0.093675,             0.18673,           0.0020114,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045585,           0.0045585,             0.06831
                   1,            0.050267,             0.13025,           0.0014511,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082839,           0.0082839,            0.036943
                   2,            0.058368,             0.14879,           0.0021068,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.01041,             0.01041,             0.01041
